    0	 3.6135235573e+000	 8.5930413513e+000
    1	 1.1363636364e+001	 2.3299395695e+001
    2	 1.1136778656e+001	 6.8535705834e+000
    3	 6.9169960474e-002	 2.5374293496e-001
    4	 5.5469565217e-001	 1.1576266380e-001
    5	 6.2846343874e+000	 7.0192251433e-001
    6	 6.8574901186e+001	 2.8121032570e+001
    7	 3.7950426877e+000	 2.1036283563e+000
    8	 9.5494071146e+000	 8.6986511178e+000
    9	 4.0823715415e+002	 1.6837049504e+002
   10	 1.8455533597e+001	 2.1628051915e+000
   11	 3.5667403162e+002	 9.1204607452e+001
   12	 1.2653063241e+001	 7.1340016367e+000
   13	 2.2532806324e+001	 9.1880115453e+000
